Title,Link,SQL,Python,Power BI,Excel,Tableau,Angielski,Cloud,R
Senior Power BI Developer,"https://www.pracuj.pl/praca/senior-power-bi-developer-warszawa-postepu-17a,oferta,1004544871?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,1,0,0,1,0,0
Projektant (analityk systemowy) - systemy wsparcia dowodzenia i kierowania (k/m),"https://www.pracuj.pl/praca/projektant-analityk-systemowy-systemy-wsparcia-dowodzenia-i-kierowania-k-m-warszawa-poligonowa-30,oferta,1004553441?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Analityk Finansowy,"https://www.pracuj.pl/praca/analityk-finansowy-warszawa-aleje-jerozolimskie-98,oferta,1004544557?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,0,0
Analityk w Departamencie Zarządzania Ryzykiem (k/m/d),"https://www.pracuj.pl/praca/analityk-w-departamencie-zarzadzania-ryzykiem-k-m-d-warszawa-senatorska-18,oferta,1004527398?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,1,0,1,0,0
Senior Digital Analyst (m/f/d),"https://www.pracuj.pl/praca/senior-digital-analyst-m-f-d-wroclaw-bolkowska-3,oferta,1004544280?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,1,0,0
Software Developer (.NET/Angular),"https://www.pracuj.pl/praca/software-developer-net-angular-warszawa,oferta,1004564735?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Analityk sprzedaży,"https://www.pracuj.pl/praca/analityk-sprzedazy-warszawa-zwirki-i-wigury-14,oferta,1004526516?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,1,0,0
Specjalista/Specjalistka ds. IT,"https://www.pracuj.pl/praca/specjalista-specjalistka-ds-it-skawina,oferta,1004551889?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Architektka / Architekt Systemów Teleinformatycznych,"https://www.pracuj.pl/praca/architektka-architekt-systemow-teleinformatycznych-warszawa-11-listopada-23,oferta,1004543617?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,0,0,1,1,0
Junior Product Manager (K/M),"https://www.pracuj.pl/praca/junior-product-manager-k-m-warszawa-krakowiakow-50,oferta,1004564714?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
