Title,Link,SQL,Python,Power BI,Excel,Tableau,Angielski,Cloud,R
Analityk Biznesowy (Systemy HR) (M/K),"https://www.pracuj.pl/praca/analityk-biznesowy-systemy-hr-m-k-lodz-wersalska-75-77,oferta,1004537385?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Business Analyst – Digital Sales and Marketing,"https://www.pracuj.pl/praca/business-analyst-digital-sales-and-marketing-poznan-wierzbiecice-1b,oferta,1004565411?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Junior Data Researcher,"https://www.pracuj.pl/praca/junior-data-researcher-warszawa-ogrodowa-58,oferta,1004526537?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,1,0,1,0,1,0,0
Starszy Inżynier ds. Analizy Systemów Testowych,"https://www.pracuj.pl/praca/starszy-inzynier-ds-analizy-systemow-testowych-sieradz-wojska-polskiego-107,oferta,1004537041?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Starszy Specjalista / Specjalistka ds. Ochrony Danych Osobowych,"https://www.pracuj.pl/praca/starszy-specjalista-specjalistka-ds-ochrony-danych-osobowych-warszawa-szamocka-6,oferta,1004531704?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Junior Research Engineer (Product Intelligence),"https://www.pracuj.pl/praca/junior-research-engineer-product-intelligence-warszawa-zelazna-51-53,oferta,1004527058?sug=list_bd_3&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,1,1,0
Data Engineer,"https://www.pracuj.pl/praca/data-engineer-warszawa,oferta,1004528605?sug=list_bd_4&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,1,1,1
Młodszy Specjalista / Młodsza Specjalistka ds. analiz ALM,"https://www.pracuj.pl/praca/mlodszy-specjalista-mlodsza-specjalistka-ds-analiz-alm-wroclaw-legnicka-48,oferta,1004548347?sug=list_bd_6&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,0,0,1,0,0
Junior AI Engineer,"https://www.pracuj.pl/praca/junior-ai-engineer-krakow-swietego-jana-20,oferta,1004503997?sug=list_bd_9&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,0,0,0
Specjalistka/Specjalista w Zespole Analiz Produktowych i Rynkowych,"https://www.pracuj.pl/praca/specjalistka-specjalista-w-zespole-analiz-produktowych-i-rynkowych-lodz-wolczanska-128-134,oferta,1004530275?sug=list_bd_10&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,1,0,1,0,1,0
Financial Process Analyst (AR),"https://www.pracuj.pl/praca/financial-process-analyst-ar-katowice,oferta,1004542027?sug=list_bd_11&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Młodszy analityk finansowy/Młodsza analityczka finansowa,"https://www.pracuj.pl/praca/mlodszy-analityk-finansowy-mlodsza-analityczka-finansowa-wroclaw-plac-grunwaldzki-22,oferta,1004560729?sug=list_bd_12&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,1,0,0
Junior Data Analyst,"https://www.pracuj.pl/praca/junior-data-analyst-krakow,oferta,1004534417?sug=list_bd_15&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,1,1,0
Specjalista/ka ds. Ochrony Danych Osobowych (RODO),"https://www.pracuj.pl/praca/specjalista-ka-ds-ochrony-danych-osobowych-rodo-zabrze,oferta,1004528474?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,0,0,0
IT Business Analyst in Transfer Agency,"https://www.pracuj.pl/praca/it-business-analyst-in-transfer-agency-warszawa,oferta,1004565289?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
IP Insight Manager/Menedżer ds. Analiz Własności Intelektualnej,"https://www.pracuj.pl/praca/ip-insight-manager-menedzer-ds-analiz-wlasnosci-intelektualnej-krakow,oferta,1004537028?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Młodszy/a Analityk/czka BI,"https://www.pracuj.pl/praca/mlodszy-a-analityk-czka-bi-warszawa-marszalkowska-104-122,oferta,1004559689?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,1,0,0,0,0,0
Konsultant ds. wdrożeń platformy workflow / Analityk biznesowy (M/K),"https://www.pracuj.pl/praca/konsultant-ds-wdrozen-platformy-workflow-analityk-biznesowy-m-k-glogow-malopolski-rzeszowska-101,oferta,1004536654?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,0,0,1,0,0
Analityk / Starszy Analityk Biznesowy (m/k/os.),"https://www.pracuj.pl/praca/analityk-starszy-analityk-biznesowy-m-k-os-wroclaw-olchowa-14,oferta,1004536558?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Analityk logistyki,"https://www.pracuj.pl/praca/analityk-logistyki-gdansk-elblaska-130,oferta,1004547518?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,0,0,0
Specjalista / Specjalistka ds. Business Intelligence,"https://www.pracuj.pl/praca/specjalista-specjalistka-ds-business-intelligence-wroclaw,oferta,1004535988?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,0,0,1,1,0
Business Analyst,"https://www.pracuj.pl/praca/business-analyst-koszalin,oferta,1004547210?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,1,1,0,0
Analityk Biznesowo-Techniczny/Analityczka Biznesowo-Techniczna,"https://www.pracuj.pl/praca/analityk-biznesowo-techniczny-analityczka-biznesowo-techniczna-torun,oferta,1004532561?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,1,0,1,1,0
Web Analyst (m/k),"https://www.pracuj.pl/praca/web-analyst-m-k-lodz-wiaczynska-8a,oferta,1004534470?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,0,0,1,0,0
Analityk HR (M/K),"https://www.pracuj.pl/praca/analityk-hr-m-k-strzelce-opolskie-1-maja-52,oferta,1004532460?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Analityk Biznesowy / IT,"https://www.pracuj.pl/praca/analityk-biznesowy-it-tarnowskie-gory-h-sienkiewicza-49,oferta,1004534151?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,1,0,1,0,0
Specjalista/ka ds. Szkoleń i Analizy Zgłoszeń w Dyżurnet.pl,"https://www.pracuj.pl/praca/specjalista-ka-ds-szkolen-i-analizy-zgloszen-w-dyzurnet-pl-warszawa-kolska-12,oferta,1004532120?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,1,0
Analityk / Analityczka ds. rozwoju i analiz finansowych,"https://www.pracuj.pl/praca/analityk-analityczka-ds-rozwoju-i-analiz-finansowych-krakow-aleja-29-listopada-20,oferta,1004532080?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Analityk Biznesowy - Projektant Systemów Kadrowo-Płacowych,"https://www.pracuj.pl/praca/analityk-biznesowy-projektant-systemow-kadrowo-placowych-katowice-mikolowska-100,oferta,1004531970?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,0,0,1,0,0
Specjalista/Specjalistka ds. Analiz Finansowych,"https://www.pracuj.pl/praca/specjalista-specjalistka-ds-analiz-finansowych-warszawa-lopuszanska-95,oferta,1004531247?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Analityk / Ekspert w Dziale Wynagrodzeń i Kontrolingu Personalnego,"https://www.pracuj.pl/praca/analityk-ekspert-w-dziale-wynagrodzen-i-kontrolingu-personalnego-warszawa-mszczonowska-4,oferta,1004531159?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,0,0,0
Starsza Specjalistka / Starszy Specjalista ds. analiz i wizualizacji wyników,"https://www.pracuj.pl/praca/starsza-specjalistka-starszy-specjalista-ds-analiz-i-wizualizacji-wynikow-warszawa-chmielna-89,oferta,1004530909?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,0,1,0
Analityk/-czka Biznesowy/-a,"https://www.pracuj.pl/praca/analityk-czka-biznesowy-a-warszawa-krakowiakow-78,oferta,1004530447?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Ekspertka / Ekspert ds. analiz i raportowania,"https://www.pracuj.pl/praca/ekspertka-ekspert-ds-analiz-i-raportowania-warszawa-swietokrzyska-36,oferta,1004530372?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,1,1,0,0,1,0
Specjalista ds. analiz,"https://www.pracuj.pl/praca/specjalista-ds-analiz-zielona-gora,oferta,1004530369?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Specjalista / Specjalistka ds. e‑commerce (Analityk e‑commerce) - 1/2 lub 3/4 etatu,"https://www.pracuj.pl/praca/specjalista-specjalistka-ds-e-commerce-analityk-e-commerce-1-2-lub-3-4-etatu-pleszew-31,oferta,1004530363?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Power BI & Reporting Specialist,"https://www.pracuj.pl/praca/power-bi-reporting-specialist-warszawa-emilii-plater-52,oferta,1004532185?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,0,0
Specjalistka/Specjalista w Zespole Analiz Produktowych i Rynkowych,"https://www.pracuj.pl/praca/specjalistka-specjalista-w-zespole-analiz-produktowych-i-rynkowych-lodz-wolczanska-128-134,oferta,1004530275?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,1,0,1,0,1,0
Specjalistka/Specjalista w Zespole Analiz Produktowych i Rynkowych,"https://www.pracuj.pl/praca/specjalistka-specjalista-w-zespole-analiz-produktowych-i-rynkowych-warszawa-murmanska-25,oferta,1004530163?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,1,0,1,0,1,0
Ekspertka / Ekspert ds. Analityki Internetowej,"https://www.pracuj.pl/praca/ekspertka-ekspert-ds-analityki-internetowej-warszawa,oferta,1004531390?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,1,0,1,0,0
Pricing & Demand Analyst,"https://www.pracuj.pl/praca/pricing-demand-analyst-zielona-gora-dekoracyjna-8,oferta,1004531168?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,1,0,1,0,0
Inspektor ds. Analityki Sieci Wod.-Kan. i GIS,"https://www.pracuj.pl/praca/inspektor-ds-analityki-sieci-wod-kan-i-gis-lodz,oferta,1004528683?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,1,0,0,0,0
Sales Support / Analityk Sprzedażowy (K/M),"https://www.pracuj.pl/praca/sales-support-analityk-sprzedazowy-k-m-warszawa-pulawska-2,oferta,1004528667?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,1,0
Analityk / Analityczka Cenowa,"https://www.pracuj.pl/praca/analityk-analityczka-cenowa-wroclaw-krzemieniecka-60a,oferta,1004528751?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,1,0,1,0,0
Analityk Łańcucha Dostaw (M/K),"https://www.pracuj.pl/praca/analityk-lancucha-dostaw-m-k-warszawa-jozefa-piusa-dziekonskiego-1,oferta,1004528771?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,0,0,0
Analityk w Dziale Kontrolingu,"https://www.pracuj.pl/praca/analityk-w-dziale-kontrolingu-sitkowka-nowiny-pow-kielecki,oferta,1004528008?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,0,0
"Analyst, BES, PTP, Buying Center (F/M - K/M)","https://www.pracuj.pl/praca/analyst-bes-ptp-buying-center-f-m-k-m-warszawa-woloska-22,oferta,1004527138?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Analityk Internetowy,"https://www.pracuj.pl/praca/analityk-internetowy-warszawa-aleje-jerozolimskie-96,oferta,1004529256?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,0,0
Analityk Operacyjny / Analityczka Operacyjna,"https://www.pracuj.pl/praca/analityk-operacyjny-analityczka-operacyjna-lidzbark-warminski-topolowa-1,oferta,1004529077?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,0,0,0
Marketing Campaign Analyst (f/m/d),"https://www.pracuj.pl/praca/marketing-campaign-analyst-f-m-d-krakow-zablocie-43b,oferta,1004528913?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,1,1,0,0
Specjalista ds. Analityki i Rozwoju Projektów HR (M/K),"https://www.pracuj.pl/praca/specjalista-ds-analityki-i-rozwoju-projektow-hr-m-k-lodz-traktorowa-141-143,oferta,1004528128?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Główna Analityczka Biznesowa / Główny Analityk Biznesowy (obszar sprzedaży agencyjnej),"https://www.pracuj.pl/praca/glowna-analityczka-biznesowa-glowny-analityk-biznesowy-obszar-sprzedazy-agencyjn-warszawa,oferta,1004527660?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,1,0,0,0,0
Junior Forecasting Analyst and SOP,"https://www.pracuj.pl/praca/junior-forecasting-analyst-and-sop-warszawa-rondo-ignacego-daszynskiego-1,oferta,1004549268?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Specjalista ds. Analiz Finansowych i Kontrolingu Zarządczego,"https://www.pracuj.pl/praca/specjalista-ds-analiz-finansowych-i-kontrolingu-zarzadczego-warszawa,oferta,1004549262?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,0,0
Starsza Analityczka / Starszy Analityk / Główna Analityczka / Główny Analityk ds. Systemów IT (k/m/n),"https://www.pracuj.pl/praca/starsza-analityczka-starszy-analityk-glowna-analityczka-glowny-analityk-ds-syste-warszawa-generala-mariusza-zaruskiego-4,oferta,1004526645?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,0,0,1,1,0
Specjalista / Specjalistka ds. analiz i taryfikacji,"https://www.pracuj.pl/praca/specjalista-specjalistka-ds-analiz-i-taryfikacji-grudziadz-budowlanych-7,oferta,1004535727?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,0,1,0
Analyst - Policy Management with Italian,"https://www.pracuj.pl/praca/analyst-policy-management-with-italian-wroclaw-kazimierza-wielkiego-3,oferta,1004521879?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,1,0,1,0,0
Analityk Finansowy ds. Spółek Zagranicznych,"https://www.pracuj.pl/praca/analityk-finansowy-ds-spolek-zagranicznych-krakow,oferta,1004555251?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,1,0
Financial Controller / Investment Analyst,"https://www.pracuj.pl/praca/financial-controller-investment-analyst-warszawa,oferta,1004543822?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,0,0
Senior Data Engineer – medical industry,"https://www.pracuj.pl/praca/senior-data-engineer-medical-industry-warszawa-aleja-niepodleglosci-69,oferta,1004532821?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,1,0,1,1,0
Data Engineer,"https://www.pracuj.pl/praca/data-engineer-warszawa,oferta,1004528605?sug=list_bd_2&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,1,1,1
Junior Data Researcher,"https://www.pracuj.pl/praca/junior-data-researcher-warszawa-ogrodowa-58,oferta,1004526537?sug=list_bd_3&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,1,1,1,0,1,0,0
Junior Research Engineer (Product Intelligence),"https://www.pracuj.pl/praca/junior-research-engineer-product-intelligence-warszawa-zelazna-51-53,oferta,1004527058?sug=list_bd_4&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,1,1,0
Młodszy Specjalista / Młodsza Specjalistka ds. Uprawnień,"https://www.pracuj.pl/praca/mlodszy-specjalista-mlodsza-specjalistka-ds-uprawnien-wroclaw,oferta,1004530976?sug=list_bd_7&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Financial Process Analyst (AR),"https://www.pracuj.pl/praca/financial-process-analyst-ar-katowice,oferta,1004542027?sug=list_bd_8&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Młodszy Specjalista ds. Controllingu (K/M),"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-controllingu-k-m-wroclaw,oferta,1004544300?sug=list_bd_9&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,0,1,0
Data Analytics Engineer,"https://www.pracuj.pl/praca/data-analytics-engineer-krakow-wadowicka-3a,oferta,1004500292?sug=list_bd_10_boosterAI_L2&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,1,1,0,0,1,0
Specjalistka/Specjalista w Zespole Analiz Produktowych i Rynkowych,"https://www.pracuj.pl/praca/specjalistka-specjalista-w-zespole-analiz-produktowych-i-rynkowych-lodz-wolczanska-128-134,oferta,1004530275?sug=list_bd_12&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,1,0,1,0,1,0
Junior AI Engineer,"https://www.pracuj.pl/praca/junior-ai-engineer-krakow-swietego-jana-20,oferta,1004503997?sug=list_bd_13&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,0,0,0
Junior Data Analyst,"https://www.pracuj.pl/praca/junior-data-analyst-krakow,oferta,1004534417?sug=list_bd_14&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,1,0,0
Młodszy Analityk Ryzyka (k/m),"https://www.pracuj.pl/praca/mlodszy-analityk-ryzyka-k-m-wroclaw-raclawicka-2,oferta,1004549119?sug=list_bd_15&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Młodszy Analityk / Młodsza Analityczka ds. Sprzedaży,"https://www.pracuj.pl/praca/mlodszy-analityk-mlodsza-analityczka-ds-sprzedazy-krakow,oferta,1004529786?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,0,0
Specjalista ds. analiz i rozliczeń,"https://www.pracuj.pl/praca/specjalista-ds-analiz-i-rozliczen-warszawa,oferta,1004529303?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Analyst - Policy Management with French,"https://www.pracuj.pl/praca/analyst-policy-management-with-french-wroclaw-kazimierza-wielkiego-3,oferta,1004508489?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,1,0,1,0,0
Młodszy Analityk Finansowy,"https://www.pracuj.pl/praca/mlodszy-analityk-finansowy-warszawa-marszalkowska-142,oferta,1004529076?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
AP Accountant (CMS Team),"https://www.pracuj.pl/praca/ap-accountant-cms-team-poznan-kolorowa-6,oferta,1004544036?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Expert Business Analyst Identity & Access Management on Mainframe,"https://www.pracuj.pl/praca/expert-business-analyst-identity-access-management-on-mainframe-warszawa,oferta,1004532851?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Senior Data Engineer (Snowflake / Azure),"https://www.pracuj.pl/praca/senior-data-engineer-snowflake-azure-warszawa-aleje-jerozolimskie-125,oferta,1004513071?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,1,1,0
Analityk finansowy,"https://www.pracuj.pl/praca/analityk-finansowy-konin,oferta,1004560831?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,0,0,0
Analityk Finansowy / Analityczka Finansowa,"https://www.pracuj.pl/praca/analityk-finansowy-analityczka-finansowa-poznan,oferta,1004550862?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Młodszy analityk finansowy/Młodsza analityczka finansowa,"https://www.pracuj.pl/praca/mlodszy-analityk-finansowy-mlodsza-analityczka-finansowa-wroclaw-plac-grunwaldzki-22,oferta,1004560729?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,1,0,0
Trade Finance Analyst / Controller with German (f/m/x),"https://www.pracuj.pl/praca/trade-finance-analyst-controller-with-german-f-m-x-warszawa,oferta,1004532417?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,0,0
Starszy Analityk Finansowy (spółka handlowa),"https://www.pracuj.pl/praca/starszy-analityk-finansowy-spolka-handlowa-warszawa,oferta,1004547710?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Osoba na stanowisko Analityka Finansowego,"https://www.pracuj.pl/praca/osoba-na-stanowisko-analityka-finansowego-warszawa,oferta,1004559385?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,1,0,0
Junior Financial Analyst,"https://www.pracuj.pl/praca/junior-financial-analyst-ruda-slaska-hallera-78,oferta,1004536835?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,1,0,0
Młodszy Specjalista / Młodsza Specjalistka ds. promocji biżuterii artystycznej,"https://www.pracuj.pl/praca/mlodszy-specjalista-mlodsza-specjalistka-ds-promocji-bizuterii-artystycznej-poznan-ignacego-paderewskiego-7,oferta,1004540312?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,1,0
Senior Financial Analyst,"https://www.pracuj.pl/praca/senior-financial-analyst-krakow-wielicka-28,oferta,1004528590?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Analityk finansowy (f/m),"https://www.pracuj.pl/praca/analityk-finansowy-f-m-warszawa-zawodzie-22,oferta,1004553591?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,0,0,0
Płatne praktyki | FCU Process Team,"https://www.pracuj.pl/praca/platne-praktyki-fcu-process-team-gdansk-aleja-grunwaldzka-472,oferta,1004533860?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,0,0
Financial Analyst - Loan Back Office Specialist,"https://www.pracuj.pl/praca/financial-analyst-loan-back-office-specialist-wroclaw,oferta,1004557892?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Analityk / Analityczka BI,"https://www.pracuj.pl/praca/analityk-analityczka-bi-torun-grudziadzka-107,oferta,1004545053?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,1,1,0,1,1,0
iOS Developer,"https://www.pracuj.pl/praca/ios-developer-warszawa,oferta,1004545444?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Business Controller,"https://www.pracuj.pl/praca/business-controller-warszawa,oferta,1004561626?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,0,0
Analityk Finansowy (m/k),"https://www.pracuj.pl/praca/analityk-finansowy-m-k-lublin,oferta,1004542582?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Analityk biznesowo – systemowy,"https://www.pracuj.pl/praca/analityk-biznesowo-systemowy-wroclaw-plac-teatralny-1,oferta,1004564570?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,0,0,1,0,0
People & Culture Manager/ka,"https://www.pracuj.pl/praca/people-culture-manager-ka-lodz,oferta,1004564548?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,0,1,0
Młodsza Specjalistka / Młodszy Specjalista ds. Taryfikacji Ubezpieczeń,"https://www.pracuj.pl/praca/mlodsza-specjalistka-mlodszy-specjalista-ds-taryfikacji-ubezpieczen-warszawa-aleje-jerozolimskie-162,oferta,1004564575?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,0,0,0
Specjalistka / Specjalista ds. Taryfikacji Ubezpieczeń,"https://www.pracuj.pl/praca/specjalistka-specjalista-ds-taryfikacji-ubezpieczen-warszawa-aleje-jerozolimskie-162,oferta,1004564576?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,0,0,0
Control Tower Manager (F/M),"https://www.pracuj.pl/praca/control-tower-manager-f-m-mszczonow-tarczynska-111,oferta,1004564599?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,0,0
Młodszy Specjalista / Młodsza Specjalistka ds. Logistyki,"https://www.pracuj.pl/praca/mlodszy-specjalista-mlodsza-specjalistka-ds-logistyki-warszawa-polczynska-31a,oferta,1004564595?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Specjalista ds. marketplace (e-commerce),"https://www.pracuj.pl/praca/specjalista-ds-marketplace-e-commerce-wroclaw-powstancow-slaskich-15,oferta,1004564213?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,0,0,1,1,0
Specjalista ds. koordynacji wyłączeń (k/m/n),"https://www.pracuj.pl/praca/specjalista-ds-koordynacji-wylaczen-k-m-n-warszawa-aleje-jerozolimskie-132,oferta,1004551665?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Automation Tester,"https://www.pracuj.pl/praca/automation-tester-poznan,oferta,1004538763?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,1,0,0
